Ubicación Origen,Ubicación Destino,Almacén,T. OP,Categoria,Codigo P.,Uni.,Producto,Fecha Alb.,Fecha,Periodo,Doc. Almacén,T. Doc.,Serie,Nro. Documento,Proveedor,Ingreso,Salida,Saldo F,C.A.,Debe,Haber,Saldo V.,CP,Cuenta factura,Cuenta producto,Cta. Analitica,LotePT,LoteMP,Pedido de Compra,Licitacion,Fecha Ingreso Lote,Plata
Ubicaciones virtuales / Produccion,Ubicaciones físicas / ARUM / Existencias, / ARUM / Existencias,08,All products,,t,RUMA,2018-01-31,2018-01-31,,INGRM-000466,,,INGRM-000466,,1.000000,0,1.000000,1511076.619531970000,1511076.61953197,0,1511076.61953197,1511076.619531970000,"",,,"",,,,,
Ubicaciones virtuales / Produccion,Ubicaciones físicas / ARUM / Existencias, / ARUM / Existencias,08,All products,,t,RUMA,2018-01-31,2018-01-31,,INGRM-000467,,,INGRM-000467,,1.000000,0,2.000000,1179719.600919350000,1179719.60091935,0,2690796.22045132,1345398.110225660000,"",,,"",,,,,
Ubicaciones virtuales / Produccion,Ubicaciones físicas / ARUM / Existencias, / ARUM / Existencias,08,All products,,t,RUMA,2018-01-31,2018-01-31,,INGRM-000472,,,INGRM-000472,,1.000000,0,3.000000,1768.5131077055300000,1768.51310770553,0,2692564.73355902553,897521.577853008510,"",,,"",,,,,
